group1,group2,meandiff,p-adj,lower,upper,reject
Acetamidinium_Lead,Dimethylammonium_Tin,0.1782,1.0,-0.4785,0.8349,False
Acetamidinium_Lead,Ethylammonium_Germanium,0.2702,0.9999,-0.3413,0.8817,False
Acetamidinium_Lead,Ethylammonium_Lead,0.2264,1.0,-0.392,0.8449,False
Acetamidinium_Lead,Ethylammonium_Tin,0.252,1.0,-0.3533,0.8572,False
Acetamidinium_Lead,Formamidinium_Germanium,0.1444,1.0,-0.7075,0.9964,False
Acetamidinium_Lead,Formamidinium_Lead,-0.1648,1.0,-1.0168,0.6872,False
Acetamidinium_Lead,Formamidinium_Tin,0.0881,1.0,-0.7638,0.9401,False
Acetamidinium_Lead,Guanidinium_Germanium,0.1877,1.0,-0.6642,1.0397,False
Acetamidinium_Lead,Guanidinium_Lead,-0.0044,1.0,-0.8564,0.8475,False
Acetamidinium_Lead,Guanidinium_Tin,0.0391,1.0,-0.8476,0.9259,False
Acetamidinium_Lead,Hydrazinium_Germanium,0.1577,1.0,-0.4572,0.7725,False
Acetamidinium_Lead,Hydrazinium_Lead,0.0141,1.0,-0.6258,0.654,False
Acetamidinium_Lead,Hydrazinium_Tin,0.1614,1.0,-0.4469,0.7697,False
Acetamidinium_Lead,Hydroxylammonium_Germanium,0.0261,1.0,-0.6442,0.6964,False
Acetamidinium_Lead,Hydroxylammonium_Lead,-0.3547,0.9968,-1.0327,0.3233,False
Acetamidinium_Lead,Hydroxylammonium_Tin,-0.0461,1.0,-0.7241,0.6319,False
Acetamidinium_Lead,Imidazolium_Germanium,0.037,1.0,-0.6262,0.7003,False
Acetamidinium_Lead,Imidazolium_Lead,-0.0981,1.0,-0.7937,0.5975,False
Acetamidinium_Lead,Imidazolium_Tin,-0.0115,1.0,-0.6622,0.6392,False
Acetamidinium_Lead,Isopropylammonium_Germanium,0.3163,0.999,-0.3236,0.9562,False
Acetamidinium_Lead,Isopropylammonium_Lead,0.3004,0.9996,-0.3301,0.9308,False
Acetamidinium_Lead,Isopropylammonium_Tin,0.2995,0.9997,-0.3355,0.9346,False
Acetamidinium_Lead,Methylammonium_Germanium,0.1782,1.0,-0.5276,0.884,False
Acetamidinium_Lead,Methylammonium_Lead,0.0025,1.0,-0.7145,0.7195,False
Acetamidinium_Lead,Methylammonium_Tin,0.1756,1.0,-0.5201,0.8712,False
Acetamidinium_Lead,Propylammonium_Germanium,0.4713,0.4938,-0.1284,1.071,False
Acetamidinium_Lead,Propylammonium_Lead,0.2609,1.0,-0.3444,0.8662,False
Acetamidinium_Lead,Propylammonium_Tin,0.3462,0.9766,-0.2461,0.9385,False
Acetamidinium_Lead,Tetramethylammonium_Germanium,0.4622,0.9971,-0.4246,1.3489,False
Acetamidinium_Lead,Tetramethylammonium_Lead,0.1521,1.0,-0.6999,1.004,False
Acetamidinium_Lead,Tetramethylammonium_Tin,0.3499,1.0,-0.5368,1.2367,False
Acetamidinium_Lead,Trimethylammonium_Germanium,0.3381,0.9961,-0.3018,0.978,False
Acetamidinium_Lead,Trimethylammonium_Lead,0.1066,1.0,-0.5082,0.7215,False
