group1,group2,meandiff,p-adj,lower,upper,reject
Acetamidinium_Chloride,Butylammonium_Iodide,-0.9761,-0.0,-1.1531,-0.7991,True
Acetamidinium_Chloride,Dimethylammonium_Bromide,-0.4291,-0.0,-0.5754,-0.2827,True
Acetamidinium_Chloride,Dimethylammonium_Chloride,0.0983,0.8666,-0.0494,0.2461,False
Acetamidinium_Chloride,Dimethylammonium_Iodide,-1.1199,-0.0,-1.2662,-0.9736,True
Acetamidinium_Chloride,Ethylammonium_Bromide,-0.3392,-0.0,-0.4757,-0.2026,True
Acetamidinium_Chloride,Ethylammonium_Chloride,0.2438,0.0,0.1057,0.3819,True
Acetamidinium_Chloride,Ethylammonium_Iodide,-1.0661,-0.0,-1.2013,-0.9308,True
Acetamidinium_Chloride,Formamidinium_Bromide,-0.5995,-0.0,-0.7881,-0.4109,True
Acetamidinium_Chloride,Formamidinium_Chloride,-0.0321,1.0,-0.2207,0.1565,False
Acetamidinium_Chloride,Formamidinium_Iodide,-1.2916,-0.0,-1.4802,-1.103,True
Acetamidinium_Chloride,Guanidinium_Bromide,-0.5017,-0.0,-0.6903,-0.3131,True
Acetamidinium_Chloride,Guanidinium_Chloride,0.0047,1.0,-0.1915,0.2008,False
Acetamidinium_Chloride,Guanidinium_Iodide,-1.2016,-0.0,-1.3902,-1.013,True
Acetamidinium_Chloride,Hydrazinium_Bromide,-0.4832,-0.0,-0.6212,-0.3451,True
Acetamidinium_Chloride,Hydrazinium_Chloride,0.0056,1.0,-0.1332,0.1445,False
Acetamidinium_Chloride,Hydrazinium_Iodide,-1.1403,-0.0,-1.2783,-1.0022,True
Acetamidinium_Chloride,Hydroxylammonium_Bromide,-0.7062,-0.0,-0.8554,-0.5569,True
Acetamidinium_Chloride,Hydroxylammonium_Chloride,-0.3,0.0,-0.4527,-0.1472,True
Acetamidinium_Chloride,Hydroxylammonium_Iodide,-1.3058,-0.0,-1.4551,-1.1566,True
Acetamidinium_Chloride,Imidazolium_Bromide,-0.5892,-0.0,-0.7401,-0.4383,True
Acetamidinium_Chloride,Imidazolium_Chloride,-0.0936,0.9355,-0.2428,0.0557,False
Acetamidinium_Chloride,Imidazolium_Iodide,-1.3022,-0.0,-1.4486,-1.1559,True
Acetamidinium_Chloride,Isopropylammonium_Bromide,-0.2929,-0.0,-0.4335,-0.1522,True
Acetamidinium_Chloride,Isopropylammonium_Chloride,0.2832,0.0,0.1394,0.427,True
Acetamidinium_Chloride,Isopropylammonium_Iodide,-0.997,-0.0,-1.1377,-0.8564,True
Acetamidinium_Chloride,Methylammonium_Bromide,-0.4648,-0.0,-0.6217,-0.3079,True
Acetamidinium_Chloride,Methylammonium_Chloride,0.0517,1.0,-0.1076,0.2111,False
Acetamidinium_Chloride,Methylammonium_Iodide,-1.1412,-0.0,-1.296,-0.9865,True
Acetamidinium_Chloride,Propylammonium_Bromide,-0.2464,0.0,-0.3804,-0.1123,True
Acetamidinium_Chloride,Propylammonium_Chloride,0.3356,-0.0,0.2015,0.4696,True
Acetamidinium_Chloride,Propylammonium_Iodide,-0.9792,-0.0,-1.1127,-0.8457,True
Acetamidinium_Chloride,Tetramethylammonium_Bromide,-0.3426,0.0,-0.5312,-0.154,True
Acetamidinium_Chloride,Tetramethylammonium_Chloride,0.2048,0.0138,0.0162,0.3933,True
Acetamidinium_Chloride,Tetramethylammonium_Iodide,-1.0694,-0.0,-1.2748,-0.8639,True
Acetamidinium_Chloride,Trimethylammonium_Bromide,-0.3649,-0.0,-0.5047,-0.2252,True
Acetamidinium_Chloride,Trimethylammonium_Chloride,0.1883,0.0001,0.0485,0.328,True
